"id","log","lat"
"Polygon_3",-110.67748,24.36133
"Polygon_3",-110.67561,24.37255
"Polygon_3",-110.68044,24.38184
"Polygon_3",-110.67793,24.38827
"Polygon_3",-110.6792,24.3972
"Polygon_3",-110.68844,24.40787
"Polygon_3",-110.68529,24.42014
"Polygon_3",-110.68641,24.43543
"Polygon_3",-110.68041,24.44539
"Polygon_3",-110.68352,24.44969
"Polygon_3",-110.68151,24.45953
"Polygon_3",-110.68605,24.47078
"Polygon_3",-110.70201,24.48889
"Polygon_3",-110.72364,24.51667
"Polygon_3",-110.73461,24.55222
"Polygon_3",-110.72772,24.56337
"Polygon_3",-110.73386,24.58815
"Polygon_3",-110.73514,24.62086
"Polygon_3",-110.72808,24.64193
"Polygon_3",-110.72601,24.65489
"Polygon_3",-110.72153,24.6716
"Polygon_3",-110.71186,24.68973
"Polygon_3",-110.70281,24.69606
"Polygon_3",-110.68678,24.70248
"Polygon_3",-110.687,24.72092
"Polygon_3",-110.6833,24.73035
"Polygon_3",-110.68003,24.74423
"Polygon_3",-110.6728,24.75266
"Polygon_3",-110.66179,24.76764
"Polygon_3",-110.65897,24.79198
"Polygon_3",-110.65403,24.81075
"Polygon_3",-110.66269,24.81336
"Polygon_3",-110.6649,24.82421
"Polygon_3",-110.67139,24.83344
"Polygon_3",-110.672,24.8494
"Polygon_3",-110.68078,24.85764
"Polygon_3",-110.68048,24.8629
"Polygon_3",-110.68229,24.87031
"Polygon_3",-110.68539,24.87496
"Polygon_3",-110.68453,24.87992
"Polygon_3",-110.68166,24.88575
"Polygon_3",-110.68652,24.8884
"Polygon_3",-110.69039,24.89586
"Polygon_3",-110.70075,24.90331
"Polygon_3",-110.70133,24.91053
"Polygon_3",-110.69608,24.91125
"Polygon_3",-110.6952,24.91648
"Polygon_3",-110.69869,24.92014
"Polygon_3",-110.70365,24.92356
"Polygon_3",-110.70881,24.92306
"Polygon_3",-110.71157,24.92193
"Polygon_3",-110.71614,24.9249
"Polygon_3",-110.7183,24.92741
"Polygon_3",-110.71809,24.93012
"Polygon_3",-110.71942,24.93293
"Polygon_3",-110.71993,24.93787
"Polygon_3",-110.72173,24.93744
"Polygon_3",-110.72293,24.9399
"Polygon_3",-110.72713,24.94232
"Polygon_3",-110.73001,24.94544
"Polygon_3",-110.7304,24.94769
"Polygon_3",-110.7321,24.94909
"Polygon_3",-110.73251,24.95056
"Polygon_3",-110.73154,24.95295
"Polygon_3",-110.73556,24.95449
"Polygon_3",-110.7377,24.95693
"Polygon_3",-110.74104,24.95927
"Polygon_3",-110.74262,24.96422
"Polygon_3",-110.74775,24.9677
"Polygon_3",-110.74738,24.97142
"Polygon_3",-110.74871,24.97363
"Polygon_3",-110.74665,24.97705
"Polygon_3",-110.74933,24.97992
"Polygon_3",-110.7494,24.98423
"Polygon_3",-110.74721,24.98903
"Polygon_3",-110.74856,24.99073
"Polygon_3",-110.74936,24.99524
"Polygon_3",-110.75277,24.99704
"Polygon_3",-110.75669,24.99767
"Polygon_3",-110.75764,24.99932
"Polygon_3",-110.75607,25.001
"Polygon_3",-110.75571,25.0025
"Polygon_3",-110.75807,25.00472
"Polygon_3",-110.75948,25.00601
"Polygon_3",-110.75944,25.00777
"Polygon_3",-110.75663,25.01247
"Polygon_3",-110.75494,25.01496
"Polygon_3",-110.75736,25.01712
"Polygon_3",-110.76,25.0178
"Polygon_3",-110.76636,25.02125
"Polygon_3",-110.77151,25.02399
"Polygon_3",-110.77593,25.02645
"Polygon_3",-110.77933,25.03168
"Polygon_3",-110.78268,25.03457
"Polygon_3",-110.78723,25.03712
"Polygon_3",-110.78915,25.03802
"Polygon_3",-110.79079,25.03803
"Polygon_3",-110.79243,25.03757
"Polygon_3",-110.79514,25.03521
"Polygon_3",-110.79496,25.03388
"Polygon_3",-110.79581,25.03333
"Polygon_3",-110.79671,25.03243
"Polygon_3",-110.79803,25.03239
"Polygon_3",-110.80214,25.03386
"Polygon_3",-110.80674,25.03321
"Polygon_3",-110.81039,25.03411
"Polygon_3",-110.81353,25.03688
"Polygon_3",-110.81836,25.04153
"Polygon_3",-110.82217,25.04571
"Polygon_3",-110.82461,25.04875
"Polygon_3",-110.82442,25.05158
"Polygon_3",-110.82329,25.05411
"Polygon_3",-110.82305,25.05997
"Polygon_3",-110.82497,25.06198
"Polygon_3",-110.82616,25.06373
"Polygon_3",-110.83085,25.06675
"Polygon_3",-110.83667,25.06877
"Polygon_3",-110.84257,25.07033
"Polygon_3",-110.84531,25.07093
"Polygon_3",-110.84625,25.07192
"Polygon_3",-110.84495,25.07383
"Polygon_3",-110.8506,25.07554
"Polygon_3",-110.85656,25.07888
"Polygon_3",-110.8584,25.08028
"Polygon_3",-110.86088,25.0826
"Polygon_3",-110.86172,25.08775
"Polygon_3",-110.86304,25.09029
"Polygon_3",-110.86187,25.09174
"Polygon_3",-110.8641,25.09442
"Polygon_3",-110.86589,25.09651
"Polygon_3",-110.86648,25.09822
"Polygon_3",-110.86766,25.0997
"Polygon_3",-110.86797,25.10253
"Polygon_3",-110.86774,25.10715
"Polygon_3",-110.87043,25.1094
"Polygon_3",-110.87282,25.11293
"Polygon_3",-110.87424,25.11558
"Polygon_3",-110.87345,25.11865
"Polygon_3",-110.87428,25.12145
"Polygon_3",-110.879,25.12415
"Polygon_3",-110.87943,25.12572
"Polygon_3",-110.87797,25.12767
"Polygon_3",-110.88175,25.12854
"Polygon_3",-110.88759,25.13014
"Polygon_3",-110.89205,25.13233
"Polygon_3",-110.89287,25.13595
"Polygon_3",-110.8954,25.13817
"Polygon_3",-110.89651,25.13608
"Polygon_3",-110.92791,25.09293
"Polygon_3",-110.91339,24.93942
"Polygon_3",-110.93909,24.82397
"Polygon_3",-110.9538,24.7084
"Polygon_3",-110.99206,24.55398
"Polygon_3",-111.06878,24.41937
"Polygon_4",-110.98987,25.22663
"Polygon_4",-111.03424,25.253
"Polygon_4",-111.07285,25.31038
"Polygon_4",-111.13069,25.36649
"Polygon_4",-111.13909,25.42753
"Polygon_4",-111.13186,25.54303
"Polygon_4",-111.1268,25.53658
"Polygon_4",-111.11976,25.52822
"Polygon_4",-111.11605,25.52636
"Polygon_4",-111.11199,25.52558
"Polygon_4",-111.10725,25.52527
"Polygon_4",-111.10388,25.52574
"Polygon_4",-111.10143,25.5293
"Polygon_4",-111.09815,25.52899
"Polygon_4",-111.09677,25.52674
"Polygon_4",-111.09131,25.52568
"Polygon_4",-111.08535,25.5257
"Polygon_4",-111.07758,25.5268
"Polygon_4",-111.07017,25.53154
"Polygon_4",-111.06776,25.53096
"Polygon_4",-111.06844,25.52764
"Polygon_4",-111.0693,25.52448
"Polygon_4",-111.0717,25.52335
"Polygon_4",-111.07428,25.5227
"Polygon_4",-111.07172,25.51704
"Polygon_4",-111.06814,25.51534
"Polygon_4",-111.06165,25.51488
"Polygon_4",-111.06041,25.52008
"Polygon_4",-111.05498,25.52159
"Polygon_4",-111.05201,25.52057
"Polygon_4",-111.04923,25.51672
"Polygon_4",-111.04604,25.51751
"Polygon_4",-111.04196,25.51613
"Polygon_4",-111.03906,25.51791
"Polygon_4",-111.03993,25.5207
"Polygon_4",-111.03736,25.52161
"Polygon_4",-111.03526,25.52058
"Polygon_4",-111.03519,25.51847
"Polygon_4",-111.03428,25.51703
"Polygon_4",-111.0325,25.51684
"Polygon_4",-111.0315,25.51823
"Polygon_4",-111.02937,25.51741
"Polygon_4",-111.02896,25.51646
"Polygon_4",-111.02649,25.51558
"Polygon_4",-111.02534,25.51577
"Polygon_4",-111.0232,25.51533
"Polygon_4",-111.0212,25.51501
"Polygon_4",-111.01955,25.51554
"Polygon_4",-111.01777,25.51676
"Polygon_4",-111.01517,25.51358
"Polygon_4",-111.01494,25.50355
"Polygon_4",-111.01739,25.50395
"Polygon_4",-111.0212,25.49904
"Polygon_4",-111.01828,25.49337
"Polygon_4",-111.0188,25.48956
"Polygon_4",-111.01468,25.48441
"Polygon_4",-111.0116,25.4766
"Polygon_4",-111.01899,25.47328
"Polygon_4",-111.01719,25.4617
"Polygon_4",-111.02556,25.45653
"Polygon_4",-111.02116,25.44526
"Polygon_4",-111.01484,25.43405
"Polygon_4",-111.01271,25.42472
"Polygon_4",-111.00409,25.4182
"Polygon_4",-110.99868,25.40168
"Polygon_4",-110.99738,25.38578
"Polygon_4",-110.99162,25.37795
"Polygon_4",-110.98045,25.36137
"Polygon_4",-110.97717,25.34106
"Polygon_4",-110.96375,25.33085
"Polygon_4",-110.95736,25.3315
"Polygon_4",-110.95235,25.32904
"Polygon_4",-110.95573,25.32346
"Polygon_4",-110.94744,25.31571
"Polygon_4",-110.94288,25.30486
"Polygon_4",-110.94638,25.30286
"Polygon_4",-110.94542,25.29806
"Polygon_4",-110.93783,25.29499
"Polygon_4",-110.93093,25.29067
"Polygon_4",-110.93843,25.2857
"Polygon_4",-110.93357,25.28104
"Polygon_4",-110.93656,25.27296
"Polygon_4",-110.9415,25.27232
"Polygon_4",-110.94486,25.26048
"Polygon_4",-110.94324,25.25113
"Polygon_4",-110.93715,25.24239
"Polygon_4",-110.93994,25.23882
"Polygon_4",-110.93645,25.23106
"Polygon_4",-110.93604,25.2236
"Polygon_4",-110.93142,25.21392
"Polygon_5",-112.06822,25.58057
"Polygon_5",-112.07388,25.57314
"Polygon_5",-112.06991,25.57124
"Polygon_5",-112.07041,25.49407
"Polygon_5",-112.06884,25.45815
"Polygon_5",-112.07029,25.43043
"Polygon_5",-112.07448,25.42161
"Polygon_5",-112.08577,25.43688
"Polygon_5",-112.08945,25.43015
"Polygon_5",-112.08953,25.42203
"Polygon_5",-112.09235,25.41422
"Polygon_5",-112.08827,25.40823
"Polygon_5",-112.08643,25.40816
"Polygon_5",-112.08494,25.41158
"Polygon_5",-112.08664,25.41262
"Polygon_5",-112.08396,25.41405
"Polygon_5",-112.08143,25.41016
"Polygon_5",-112.08009,25.40616
"Polygon_5",-112.08214,25.40815
"Polygon_5",-112.08926,25.40278
"Polygon_5",-112.09471,25.40134
"Polygon_5",-112.09426,25.39892
"Polygon_5",-112.09248,25.39553
"Polygon_5",-112.09229,25.38764
"Polygon_5",-112.09613,25.37531
"Polygon_5",-112.09445,25.3707
"Polygon_5",-112.09164,25.37026
"Polygon_5",-112.0886,25.37221
"Polygon_5",-112.08614,25.37016
"Polygon_5",-112.08328,25.36836
"Polygon_5",-112.08639,25.36591
"Polygon_5",-112.08615,25.36282
"Polygon_5",-112.0886,25.35918
"Polygon_5",-112.08854,25.3562
"Polygon_5",-112.08688,25.3544
"Polygon_5",-112.08511,25.35164
"Polygon_5",-112.0831,25.3515
"Polygon_5",-112.0812,25.35302
"Polygon_5",-112.07961,25.35234
"Polygon_5",-112.07835,25.35031
"Polygon_5",-112.07512,25.3526
"Polygon_5",-112.07464,25.34837
"Polygon_5",-112.07809,25.34259
"Polygon_5",-112.07749,25.3406
"Polygon_5",-112.0762,25.33995
"Polygon_5",-112.07539,25.33879
"Polygon_5",-112.07393,25.33651
